EVENT	TDC1	TRIG
17325	298434	301760
17358	842424	845398
17404	1331192	1334270
17408	1691032	1693992
17441	115875	118863
17451	1110422	1113455
17518	922709	926049
17545	1031099	1034415
17574	1070794	1073766
17599	647421	650550
17609	259283	262257
17639	544539	547517
17662	1985346	1988489
17672	157641	160823
17684	70010	73430
17741	715347	718403
17806	1776101	1779035
17816	2042156	2045308
17836	129746	133160
17842	1446787	1449778
17847	557256	560227
17874	67525	70503
17878	987899	990894
17883	1375701	1378873
17997	1127271	1130698
18033	1335774	1338918
18038	1225296	1228281
18045	542302	545294
18047	1501490	1504456
18124	198990	201943
18131	1380529	1383485
18143	196830	199947
18180	1536280	1539725
18257	117863	121151
18266	1388343	1391337
18269	650886	654296
18280	280235	283659
18293	1512506	1515459
18297	1860761	1864073
18303	1020253	1023208
18306	69592	72944
18310	1728285	1731522
18313	323603	326600
18322	506292	509256
18339	1823318	1826551
18344	54942	57903
18385	85800	89207
18402	1149354	1152358
18407	151474	154454
18444	1438668	1441946
18448	1921083	1924050
18509	1861856	1865184
18523	1806653	1809921
18601	1387043	1390640
18645	720395	723341
18646	738328	741589
18659	1676399	1680103
18670	1132064	1135045
18699	1521558	1524562
18717	1897585	1900585
18754	280741	284335
18784	1075937	1078992
18795	2073198	2076502
18816	1807295	1810814
18836	1707071	1710126
18888	1422570	1425631
18902	1515239	1518323
18913	1983970	1986989
18921	428080	431015
18943	1205208	1208172
18977	208216	211295
18979	1511414	1514522
19033	180411	183686
19034	1841241	1844352
19040	770510	773554
19062	1970117	1973076
19081	730474	733928
19106	1656993	1660446
19131	229475	232661
19194	1910735	1913699
19211	2074492	2077665
19216	285873	288834
19237	1712158	1715081
19249	473881	477262
19278	96767	99664
19282	1230342	1233376
19288	1397840	1400935
19303	1320683	1323756
19373	1777494	1780921
19378	1383074	1386469
19387	721179	724110
19399	57808	60743
19417	225498	228716
19422	973249	976492
19434	1863378	1866675
19449	390202	393164
19468	2054870	2057971
19471	1101485	1105059
19480	599807	602953
19485	973000	976168
19489	244127	247143
19513	109061	112037
19523	947396	950407
19524	806254	809250
19527	143583	146695
19548	1512894	1516124
19569	999090	1002617
19593	193206	196162
19626	1957572	1960841
19630	759278	762200
19638	573473	576758
19651	2011420	2014723
19673	1249122	1252303
19687	127064	130372
19715	895458	898841
19762	875708	878675
19768	861721	865108
19779	162983	166489
19860	1863053	1866283
19866	728350	731334
19969	1097916	1100923
19991	1852411	1855380
20016	1068884	1071874
20022	452231	455660
20023	894338	897316
20093	738383	741399
20108	1137244	1140261
20109	1050604	1053888
20135	793197	796232
20178	860197	863251
20184	836460	839439
20186	133184	136560
20198	684611	687582
20257	1317423	1320713
20265	806602	809581
20300	753001	755955
20308	426042	429357
20312	1061623	1064827
20313	157911	160908
20386	1813101	1816398
20401	458776	461728
20413	47211	50159
20419	1076508	1079479
20445	1110958	1113887
20478	1031021	1034454
20502	223638	226845
20569	792610	795788
20573	1232378	1235376
20578	408030	411112
20601	651003	654142
20629	2021345	2024336
20664	1995382	1998367
20754	474722	477691
20791	1901074	1904049
20818	736187	739266
20838	1141682	1144689
20857	1329870	1332848
20862	962363	965796
20865	854226	857568
20866	1528946	1532437
20869	74421	77431
20875	1776360	1779456
20894	1595273	1598639
20907	234369	237490
20970	752269	755371
20973	438892	441847
21006	1197512	1200479
21014	1450218	1453548
21023	653804	656746
21033	1007337	1010319
21037	355361	356978
21059	391558	394846
21086	346173	349080
21104	1369044	1372105
21109	832796	836231
21113	906826	910170
21126	1953242	1956572
21149	325277	328333
21163	606739	610347
21218	112870	115899
21270	578997	582082
21271	1425953	1429826
21291	1413489	1416760
21299	1551003	1554176
21305	764054	767094
21329	909319	912630
21340	301552	304602
21346	114386	117706
21357	98708	101852
21406	2063726	2066677
21415	117113	120057
21422	1197586	1200502
21426	356804	359753
21502	183366	186322
21543	1612506	1615753
21564	1116743	1119994
21580	1034794	1037985
21740	107533	110647
21754	154445	157430
21760	1741471	1744529
21775	1196876	1199860
21799	899526	902612
21810	1284231	1287229
21824	1871505	1874860
21835	1444839	1447934
21855	1933370	1936427
21858	1801865	1805014
21864	1614552	1617871
21873	208134	211656
21889	524602	527805
21935	768572	771561
22001	516976	520819
22004	1329062	1332285
22005	566003	569484
22007	130940	133867
22041	558597	561865
22074	19175	22598
22107	603666	606636
22148	1949943	1953265
22174	1925846	1928821
22179	995846	998846
22205	534838	538052
22212	845441	848474
22216	523742	526751
22246	1400127	1403072
22280	619881	622857
22334	123890	126868
22342	1712128	1715144
22365	1691666	1694781
22366	825344	828341
22372	203170	206293
22393	92225	95193
22431	604584	607858
22501	32827	35975
22503	1365980	1369122
22513	810426	813573
22550	419242	422190
22556	1065483	1068739
22564	1363270	1366266
22601	679330	682893
22640	1988846	1991966
22695	1690348	1693566
22700	985957	988972
22701	1810766	1813798
22705	400607	403582
22747	262073	265272
22779	1981430	1984649
22785	1652889	1656562
22844	990359	993545
22852	845667	848896
22858	1231139	1234227
22859	893389	896730
22861	447225	450239
22894	1240105	1243095
22897	1559600	1562943
22898	673569	676831
22932	103137	106103
22945	658661	661836
22949	337139	340189
22950	1042746	1046077
22998	592755	595879
23020	92930	95979
23083	1632873	1635873
23200	1191223	1194552
23218	119694	123168
23245	857702	860856
23289	1252816	1256302
23331	852772	855783
23346	1330727	1334375
23360	33253	36282
23368	741962	744971
23370	285611	288928
23389	412146	415133
23452	1151456	1154733
23481	1851816	1855177
23497	192677	195621
23527	1978878	1981880
23549	40103	43118
23560	1128258	1131272
23572	678443	681444
23594	1110225	1113619
23615	1805388	1808410
23619	876466	879821
23629	2067586	2070807
23635	269858	272876
23653	1022564	1025693
23662	8387	11642
23709	957798	960802
23714	1781871	1784958
23724	1261657	1264643
23769	7695	11119
23773	1166641	1169666
23790	1590154	1593324
23826	364446	367424
23946	215528	218857
23968	592610	595929
23969	789857	793159
23985	1552998	1556382
23990	915609	918668
24018	1776327	1779293
24086	455534	458520
24110	1464088	1467085
24143	636616	639892
24187	453131	456253
24208	1655253	1658377
24212	1019883	1023472
24228	1771645	1774994
24254	1738069	1741344
24263	111683	114657
24269	1022125	1025490
24271	292950	296587
24285	1863042	1866045
24303	1436156	1439194
24317	768426	771402
24331	462421	465372
24341	695558	698955
24374	423100	426178
24404	1069573	1072709
24416	536541	539884
24482	1151588	1154888
24487	1356788	1359757
24500	857237	860221
24501	1899207	1902316
24581	325158	328173
24594	1943450	1946676
24612	827657	831123
24615	651670	654642
24630	786074	789061
24679	539097	542122
24693	1956028	1959314
24730	763923	767551
24734	1571434	1574441
24765	68658	71926
24779	978051	981044
24810	510652	513558
24831	1479872	1482866
24880	439653	441133
24906	1644328	1647499
24907	2057341	2060273
24909	1359038	1362011
24915	1164359	1167710
24932	365497	368453
24935	1257699	1261194
24963	528884	531996
24973	805902	809083
25010	1799558	1803023
25024	1075853	1078865
25057	588126	591177
25097	848394	851990
25103	393526	396565
25123	1875486	1878469
25165	566839	570222
25174	557521	560795
25253	891066	894080
25311	1319368	1322452
25315	1242565	1246018
25316	390819	393802
25361	1800483	1803717
25363	1647970	1651357
25375	1040461	1043446
25397	469923	472927
25399	193202	196312
25414	239551	242588
25417	1369391	1372519
25442	1067535	1070544
25459	394989	398218
25461	14521	17565
25486	453496	456464
25494	1490267	1493518
25505	200231	203295
25559	1847552	1850535
25613	1195658	1198534
25627	1141053	1144226
25686	63652	66625
25694	464642	467674
25702	1760874	1764407
25705	2020266	2023601
25736	499443	502856
25749	1453066	1456244
25764	1889641	1892667
25770	562357	565412
25799	810516	813415
25849	1873685	1876667
25863	2023473	2026836
25873	1538920	1542174
25885	547945	551239
25942	1359538	1362641
25949	875604	878700
25973	1738186	1741520
25996	1474651	1477605
25998	1845958	1849075
26026	780199	783202
26029	1881124	1884120
26037	303534	306522
26046	1237171	1240691
26059	834520	837842
26068	1919593	1923120
26098	2030215	2033193
26114	442225	445315
26115	1871709	1875186
26127	1328327	1331664
26149	1068762	1071812
26169	83781	86761
26259	1896770	1900141
26288	667495	670476
26307	1509537	1512579
26339	813626	816622
26356	897121	900301
26378	1450335	1453526
26416	608236	611528
26459	1442438	1445878
26480	884750	887770
26498	184450	187705
26515	1976317	1979338
26582	1626331	1629432
26676	1078845	1081849
26691	58478	61489
26693	8384	11828
26734	2048816	2051833
26749	1901714	1904911
26772	1492462	1495464
26779	1270402	1273372
26786	1791204	1794242
26791	968858	971968
26840	873110	876125
26871	516315	519397
26938	194957	198360
26974	1197622	1200769
26992	140013	143076
27034	79306	82448
27099	15655	18649
27127	929648	932727
27174	1321044	1324351
27179	268416	271418
27183	615170	618185
27189	1749725	1752725
27211	1348985	1351991
27223	594420	597373
27238	1945069	1948306
27270	1539854	1542874
27278	1232909	1235813
27288	1144205	1147187
27300	889204	892501
27319	1636709	1639686
27355	1302344	1305406
27360	1326344	1329386
27401	1740913	1744044
27405	1311118	1314124
27415	264152	267507
27442	1994190	1997565
27488	469724	472691
27524	1709449	1712475
27549	1800203	1803202
27562	1063312	1066836
27565	1441378	1444348
27590	763451	766489
27601	178074	181047
27671	2054459	2057631
27750	326070	329164
27821	1030004	1033256
27852	1230375	1233340
27863	145929	148942
27915	951849	954887
27959	334089	337338
27975	1466591	1470058
28012	1133613	1136607
28033	442291	445289
28037	2059913	2063139
28040	488520	491579
28046	1250222	1253223
28109	1621735	1624943
28111	25193	28431
28121	1649105	1652052
28175	1170473	1173636
28239	243112	246098
28243	69916	73132
28254	80760	83774
28281	1271918	1274944
28293	479482	482465
28295	543406	546394
28299	1607113	1610630
28314	1576933	1579961
28318	1811904	1814928
28327	1090126	1093479
28358	1588260	1591539
28361	1909870	1912875
28387	1559733	1563039
28419	2044084	2047283
28451	479762	482899
28469	1054912	1058013
28499	6589	9620
28505	288599	291613
28509	1768982	1772355
28512	1614258	1617390
28585	1146891	1149822
28635	482843	485848
28654	1366470	1369645
28701	1592895	1595922
28711	1988594	1991893
28721	1274419	1277480
28728	691771	694984
28737	31755	34730
28751	1169666	1172849
28781	192368	195383
28783	1850702	1853916
28833	1247514	1250855
28863	1986592	1989934
28875	1763199	1766183
28880	645039	648055
28945	1413031	1415967
28950	1168924	1172277
28957	1600064	1602992
29017	1716870	1719871
29046	490130	493116
29067	1216800	1219814
29084	1760828	1764120
29089	1729525	1732519
29118	2076662	2079763
29142	1351254	1354228
29207	1628460	1631466
29280	1516603	1519684
29300	49329	52392
29343	1749655	1752834
29413	940710	943700
29434	1787158	1790180
29452	193722	197023
29464	587397	590433
29491	306490	309517
29518	1174083	1177097
29526	304921	308141
29529	204162	207155
29535	70374	73361
29547	597325	600314
29549	1242119	1245434
29565	1326913	1329880
29568	103730	106741
29578	401243	404099
29607	1463503	1466620
29661	185256	188263
29667	152541	155801
