event	TDC0	TDC1
780	1962414	1962354
781	1052268	1052171
782	281827	281732
783	1811089	1810988
784	846463	846387
785	197447	197734
786	625199	625290
788	1560982	1560879
789	1402103	1401989
790	1616510	1616403
791	558023	557958
792	1513710	1513942
793	1630973	1630835
794	619871	619775
795	831928	831873
796	428015	427950
797	1872544	1872416
799	193405	193682
800	2021940	2022202
801	721162	721058
802	1050956	1050870
803	1951967	1951861
804	673688	673613
805	1075349	1075287
806	1556668	1556928
807	272759	273019
808	376493	376413
809	1714296	1714211
810	1770118	1770422
811	719604	719519
812	184946	184800
813	226130	226067
814	2070772	2070676
815	1090924	1091138
816	1524165	1524099
817	489939	489823
818	650862	651088
819	1384083	1384010
821	1044063	1043963
822	1150404	1150335
823	1975555	1975493
825	83844	83771
826	1339712	1339640
827	1734612	1734549
828	454626	454568
829	1821836	1822060
830	45901	46169
831	2016898	2017102
834	382855	382744
835	1095937	1095854
836	1549396	1549307
837	1294823	1294721
838	875438	875309
839	892669	892551
840	1414072	1414018
842	1104514	1104403
843	1196326	1196611
844	1876485	1876382
845	726900	726807
847	1738417	1738328
848	105727	105634
849	321433	321748
850	1109541	1109481
851	1432315	1432582
852	1762954	1763209
853	909877	909824
854	1798630	1798522
855	2064487	2064403
856	1279721	1279628
857	159012	158910
858	345599	345498
859	806894	806790
860	457422	457347
861	627170	627106
862	2083124	2083048
863	263394	263308
864	870482	870755
865	582882	582806
866	364343	364221
867	1830305	1830202
868	1956726	1957023
869	1048292	1048219
870	1103572	1103493
871	1636979	1636925
872	428171	428453
873	1298708	1298617
874	612310	612235
875	757733	757642
876	923351	923259
877	1664649	1664906
878	546805	546719
879	1802562	1802495
880	988789	988691
881	1352763	1353012
882	930483	930409
883	1551636	1551548
884	826951	826854
885	161277	161225
886	360334	360261
887	1732069	1732049
888	1143527	1143484
889	1747233	1747128
890	70061	69964
891	728520	728772
892	123813	123768
893	1360631	1360571
894	1514412	1514309
895	799957	799853
896	280952	280832
897	1223369	1223278
898	139630	139578
899	1492385	1492258
900	1453671	1453611
901	433829	433783
902	2076792	2076740
903	514580	514902
904	1335127	1335081
905	2082662	2082594
906	1998548	1998458
907	61618	61570
908	2096097	2095870
909	790647	790569
910	2030055	2029940
912	355940	355864
913	1096622	1096504
915	190210	190113
916	683508	683410
917	297766	297680
918	946128	946043
919	1072627	1072540
920	173792	173745
921	130454	130406
922	1026915	1026831
923	988204	988421
924	420297	420202
926	1392101	1391999
927	1303377	1303075
928	2092241	2092167
931	356211	356371
932	1507135	1507093
933	1482157	1482485
934	1512694	1512565
935	1416495	1416563
936	1799771	1799680
937	1914776	1914689
938	1555673	1555597
939	406766	406693
940	1943188	1943107
941	1998292	1998193
942	242767	242679
943	675636	676104
944	1567065	1566985
945	1025910	1026193
946	1005711	1005609
947	1861308	1861232
948	1883833	1883598
949	1316388	1316293
950	1944473	1944424
951	1865360	1865633
952	553903	554189
953	1699941	1699878
954	1240482	1240420
955	549556	549608
956	546952	546886
957	1398991	1398943
958	1719364	1719310
959	1974610	1974879
960	1247455	1247373
961	899078	898979
962	1411999	1411931
963	126838	126759
964	42924	42923
965	1284299	1284233
966	727662	727584
967	617706	617577
968	629715	629649
969	1570567	1570479
970	313007	313222
971	287549	287867
972	676467	676372
973	999729	999639
975	1465568	1465461
976	1521208	1521110
977	888479	888415
978	1962528	1962422
979	1108961	1108895
980	40806	40711
981	454470	454419
982	509257	509180
983	472636	472579
984	2012761	2012990
985	970755	971047
986	63087	63361
987	2032425	2032643
988	651801	651697
989	554780	554683
990	779803	779691
991	667077	666959
993	1016276	1016524
994	89458	89366
995	332210	332456
996	1503308	1503540
997	235543	235490
998	1062222	1062170
999	1705612	1705514
1000	913473	913412
1001	1684950	1684844
1002	897617	897906
1003	1103629	1103547
1004	1740138	1740052
1005	786395	786321
1006	1752679	1752585
1008	229279	229502
1009	1953383	1953279
1010	752371	752650
1011	1889954	1889871
1012	789026	789020
1013	1527281	1527182
1014	149761	149706
1015	94748	94629
1016	468257	468142
1017	1044816	1044770
1018	1356210	1356147
1019	1277303	1277209
1020	248743	249035
1021	1364938	1365197
1023	577600	577773
1024	1426099	1425959
1025	396342	396204
1026	798171	798039
1027	1122290	1122201
1028	294984	294889
1029	389203	389190
1030	856382	856611
1031	1849353	1849257
1032	1606853	1606787
1033	736764	736674
1034	1174403	1174319
1035	1634012	1633922
1036	1467209	1467144
1037	1662557	1662463
1038	871964	871895
1039	147255	147181
1040	1014036	1013944
1041	509632	509598
1042	1400021	1399930
1043	1072609	1072498
1044	541680	541618
1045	1160919	1161205
1046	143297	143196
1047	505255	505166
1049	1561835	1561730
1050	1176125	1176010
1051	215326	215278
1052	1339543	1339844
1053	184682	184563
1054	1000007	999961
1055	863630	863545
1056	2074715	2074910
1057	618444	618355
1058	1091699	1091633
1059	1203654	1203562
1060	516979	516922
1061	1278039	1277966
1062	674557	674536
1063	314557	314485
1064	1372966	1372904
1065	1325412	1325308
1066	985800	985787
1067	1539058	1539041
1068	1901853	1901642
1073	1788341	1788260
1074	2056603	2056530
1075	84903	84831
1076	383824	384040
1077	30792	30707
1078	484183	484109
1079	221150	221407
1080	1401156	1401097
1081	1678152	1678078
1082	1320288	1320523
1083	1102462	1102387
1084	1350739	1350979
1085	331624	331867
1086	1344569	1344430
1087	1981294	1981610
1088	486692	486575
1089	70731	70642
1090	689757	689655
1091	452754	452679
1092	934214	934164
1093	1478400	1478333
1094	1079070	1079006
1095	1711193	1711101
1096	912638	912534
1097	878231	878175
1098	2071955	2072216
1099	1094201	1094093
1100	1126901	1126761
1101	832314	832239
1102	181987	181886
1103	711376	711295
1104	311812	311662
1105	1777054	1776958
1106	2087355	2087242
1107	1199258	1199435
1108	1603922	1603861
1110	877218	877119
1111	88288	88292
1112	1845055	1844943
1113	468772	468706
1114	1445314	1445234
1115	1691819	1691747
1116	473676	473599
1117	597053	597282
1118	475283	475156
1119	366163	366405
1120	1084602	1084531
1121	1208665	1208571
1122	1942645	1942583
1123	1016807	1016711
1124	1796458	1796313
1125	328563	328470
1126	1318097	1318341
1127	907818	907735
1128	1633246	1633189
1129	212757	212664
1130	1906061	1905965
1131	1208435	1208327
1132	1890942	1890846
1133	918127	918041
1134	840276	840188
1135	1455461	1455741
1136	783413	783314
1137	328569	328850
1138	775699	775591
1139	52727	53031
1140	1764882	1764822
1141	690455	690348
1142	333286	333179
1143	1737916	1737819
1144	554196	554101
1145	942850	942793
1146	1413549	1413494
1147	1711908	1711853
1148	36704	36613
1149	1237032	1236976
1150	261746	261674
1151	792853	792775
1152	1195033	1194934
1153	1183877	1183916
1154	703291	703538
1155	1723599	1723493
1156	671179	671093
1157	582004	582269
1158	1510810	1511080
1159	1603606	1603828
1160	1889965	1889900
1161	1618864	1618786
1162	1391292	1391239
1163	1213130	1213358
1164	1396024	1395927
1165	1733593	1733499
1166	1584962	1585156
1167	1286833	1286769
1168	819398	819292
1169	758587	758501
1170	1855731	1855973
1171	1711653	1711547
1172	1952755	1952683
1173	160088	159981
1174	1849540	1849453
1175	384326	384212
1176	1114171	1114025
1177	92392	92553
1178	893555	893444
1179	323088	323344
1180	665075	665002
1181	1085995	1085896
1182	1765103	1765408
1183	508847	508723
1184	387100	387047
1185	2078913	2078831
1186	213666	213571
1187	825829	826072
1188	1397314	1397232
1189	1519226	1519165
1190	627125	627062
1191	227753	227635
1192	651442	651374
1193	17491	17412
1194	1260951	1260862
1195	1046918	1046808
1196	1511084	1510995
1197	1154822	1154731
1198	1658136	1658059
1199	1610641	1610588
1201	1128136	1128025
1202	1493268	1493249
1203	1743901	1743850
1204	950710	950612
1205	1844750	1844874
1206	1607707	1607657
1207	1997277	1997193
1208	1472563	1472455
1209	1078911	1078869
1210	1653499	1653437
1211	1889968	1890237
1212	879223	879113
1213	228838	229088
1214	435727	435974
1219	1364617	1364564
1220	681808	681719
1221	370855	370749
1222	930029	929940
